,S. No.,Message_body,Label,cleaned
416,417,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,Non-Spam,idk sit stop shop park lot right bawl eye becau feel like failur everyth nobodi want feel like fail
547,548,Great! How is the office today?,Non-Spam,great offic today
934,935,"I'm in a meeting, call me later at",Non-Spam,meet call later
555,556,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,Spam,guarant cash prize claim yr prize call custom servic repr pm cost p
519,520,Hmmm.still we dont have opener?,Non-Spam,hmmm still dont open
336,337,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,Spam,chosen receiv award pl call claim number collect award select receiv valu mobil custom
577,578,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,Non-Spam,tell coulda real valentin u never pick noth
600,601,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,Spam,urgent tri contact u today draw show prize guarante call land line claim valid hr onli
90,91,Have you seen who's back at Holby?!,Non-Spam,seen back holbi
11,12,Anything lor. Juz both of us lor.,Non-Spam,anyth lor juz us lor
459,460,Oh you got many responsibilities.,Non-Spam,oh got mani respons
759,760,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,Spam,privat account statement show unredeem bonu point claim call identifi code expir
855,856,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,Non-Spam,huh slow tot u reach long ago liao u day onli leh
349,350,Pls she needs to dat slowly or she will vomit more.,Non-Spam,pl need dat slowli vomit
674,675,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,Non-Spam,miser tell u side effect birth control massiv gut wrench cramp first month sleep last night
858,859,"Did you say bold, then torch later. Or one torch and 2bold?",Non-Spam,say bold torch later one torch bold
737,738,"How long before you get reply, just defer admission til next semester",Non-Spam,long befor get repli defer admiss til next semest
40,41,I think that tantrum's finished so yeah I'll be by at some point,Non-Spam,think tantrum finish yeah point
631,632,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",Non-Spam,hey babe go ever figur go new year
372,373,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",Spam,spook mob halloween collect logo pic messag plu free eeri tone txt card spook zed p per logo p
530,531,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,Spam,believ true incr txt repli g learn truli amaz thing blow mind fwd onli p txt
586,587,So what u doing today?,Non-Spam,u today
743,744,:-) :-),Non-Spam,
697,698,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,Non-Spam,tension face smile face wast face innoc face terror face cruel face romant face lovabl face decent face lt gt joker face
360,361,Hi.what you think about match?,Non-Spam,hi think match
930,931,K k pa Had your lunch aha.,Non-Spam,k k pa lunch aha
581,582,Dont let studying stress you out. L8r.,Non-Spam,dont let studi stress l r
764,765,Reverse is cheating. That is not mathematics.,Non-Spam,rever cheat mathemat
242,243,Wishing you a wonderful week.,Non-Spam,wish wonder week
148,149,Ok k..sry i knw 2 siva..tats y i askd..,Non-Spam,ok k sri knw siva tat askd
171,172,And he's apparently bffs with carly quick now,Non-Spam,appar bff carli quick
212,213,Ok,Non-Spam,ok
198,199,"Ok., is any problem to u frm him? Wats matter?",Non-Spam,ok ani problem u frm wat matter
114,115,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,Spam,sparkl shop break per person call visit www shortbreak org uk
611,612,Doing my masters. When will you buy a bb cos i have for sale and how's bf,Non-Spam,master buy bb co sale bf
829,830,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",Non-Spam,nt onli drive even mani reason call bbd tht chikku hw abt dvg cold heard tht vinobanagar violenc hw condit hw ru ani problem
136,137,Jesus armand really is trying to tell everybody he can find,Non-Spam,jesu armand realli tri tell everybodi find
108,109,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,Spam,txt call claim reward hour talk time use phone subscrib gbp mnth inc hr stop txtstop www gamb tv
34,35,Aiyah ok wat as long as got improve can already wat...,Non-Spam,aiyah ok wat long got improv alreadi wat
490,491,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",Non-Spam,guy flash go call call madam take care oh
412,413,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",Non-Spam,sir need velusami sir date birth compani bank facil detail
798,799,I'm not sure if its still available though,Non-Spam,sure still avail though
908,909,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,Non-Spam,thi messag great doctor india drink appi fizz contain cancer cau age
331,332,Yeah I can still give you a ride,Non-Spam,yeah still give ride
854,855,Thats cool princess! I will cover your face in hot sticky cum :),Non-Spam,cool princess cover face hot sticki cum
204,205,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,Spam,xma reward wait comput ha randomli pick loyal mobil custom receiv reward call
821,822,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,Spam,camera award sipix digit camera call fromm landlin deliveri within day
404,405,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",Spam,congrat mobil g videophon r call videochat wid ur mate play java game dload polyph music nolin rentl bx ip p
413,414,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,Non-Spam,new year eve wa ok went parti boyfriend thi si hey
434,435,Sday only joined.so training we started today:),Non-Spam,sday onli join train start today
559,560,Oh k. . I will come tomorrow,Non-Spam,oh k come tomorrow
254,255,Hahaha..use your brain dear,Non-Spam,hahaha us brain dear
654,655,I am on the way to tirupur.,Non-Spam,way tirupur
317,318,You do your studies alone without anyones help. If you cant no need to study.,Non-Spam,studi alon without anyon help cant need studi
175,176,Dunno lei shd b driving lor cos i go sch 1 hr oni.,Non-Spam,dunno lei shd b drive lor co go sch hr oni
179,180,Watching ajith film ah?,Non-Spam,watch ajith film ah
233,234,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,Non-Spam,sound better even im costum im sure time finish tomorrow txt end
765,766,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",Non-Spam,guy car shop wa flirt got phone number paperwork call text nervou becau cour may address call hi boss tell know thi may get fire
640,641,"Oh yes, why is it like torture watching england?",Non-Spam,oh ye whi like tortur watch england
756,757,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",Non-Spam,honey pl find much sell predict nigeria mani time use veri import repli befor monday
152,153,So how are you really. What are you up to. How's the masters. And so on.,Non-Spam,realli master
850,851,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",Non-Spam,hey happen u switch ur cell whole day thi isnt good u care give call tomorrow
905,906,Ok no prob...,Non-Spam,ok prob
190,191,Its sunny in california. The weather's just cool,Non-Spam,sunni california weather cool
432,433,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,Non-Spam,nice pub near franki n benni near warner cinema
533,534,"* Was really good to see you the other day dudette, been missing you!",Non-Spam,wa realli good see day dudett miss
618,619,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",Spam,hi thi ami send free phone number coupl day give access adult parti
177,178,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",Non-Spam,done hand know mega shop asda count celebr
924,925,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,Spam,rip get mobil content www clubmobi com call poli true pix rington gam six download onli
819,820,"When you just put in the + sign, choose my number and the pin will show. Right?",Non-Spam,put sign choo number pin show right
475,476,Gokila is talking with you aha:),Non-Spam,gokila talk aha
91,92,Really do hope the work doesnt get stressful. Have a gr8 day.,Non-Spam,realli hope work doesnt get stress gr day
312,313,"As usual..iam fine, happy &amp; doing well..:)",Non-Spam,usual iam fine happi amp well
615,616,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,Non-Spam,hi babi im sat bloodi bu mo wont home wanna somethin later call later ortxt back jess xx
308,309,I absolutely LOVE South Park! I only recently started watching the office.,Non-Spam,absolut love south park onli recent start watch offic
569,570,Esplanade lor. Where else...,Non-Spam,esplanad lor els
542,543,Where you. What happen,Non-Spam,happen
940,941,Lol ... I knew that .... I saw him in the dollar store,Non-Spam,lol knew saw dollar store
366,367,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,Non-Spam,wot student discount u get book
