sn,symbol,ltp,point change,change,open,high,low,volume,close

1,ACLBSL,626.00,0.30,0.05,618.00,640.00,618.00,"3,717.00",625.70
2,ADBL,238.00,1.20,0.51,237.20,239.00,235.20,"17,401.00",236.80
3,AHL,481.00,7.00,1.48,465.00,486.40,460.10,"10,270.00",474.00
4,AHPC,209.40,1.90,0.92,211.60,211.60,207.10,"75,839.00",207.50
5,AKJCL,236.50,4.50,1.94,233.00,237.00,232.60,"75,970.00",232.00
6,AKPL,197.00,1.40,0.72,198.00,198.50,195.00,"128,234.00",195.60
7,ALBSL,694.00,9.00,1.31,672.30,697.00,672.30,"2,244.00",685.00
8,ALICL,692.00,5.00,0.73,682.00,698.00,682.00,"27,236.00",687.00
9,ANLB,"1,825.00",2.00,0.11,"1,820.00","1,856.50","1,820.00",495.00,"1,823.00"
10,API,202.00,3.50,1.76,198.60,203.00,198.60,"164,294.00",198.50
11,AVYAN,612.00,2.00,0.33,605.00,614.00,605.00,"1,982.00",610.00
12,BARUN,274.00,2.60,0.96,272.00,276.80,268.50,"43,910.00",271.40
13,BBC,"3,700.00",-10.00,-0.27,"3,700.00","3,700.00","3,656.20",125.00,"3,710.00"
14,BEDC,368.00,12.00,3.37,363.10,368.20,351.00,"38,845.00",356.00
15,BFC,333.00,3.00,0.91,325.20,334.00,325.20,"9,222.00",330.00
16,BGWT,629.00,9.00,1.45,607.60,639.00,607.60,"9,146.00",620.00
17,BHDC,483.00,5.70,1.19,468.10,523.00,468.10,"14,909.00",477.30
18,BHL,359.10,32.60,9.98,329.90,359.10,322.00,"122,077.00",326.50
19,BHPL,520.00,11.00,2.16,510.00,525.00,503.30,"17,167.00",509.00
20,BNHC,472.90,-3.60,-0.76,486.00,486.00,445.00,"14,590.00",476.50
21,BNL,"6,996.20",636.00,10.00,"6,487.40","6,996.20","6,487.40",50.00,"6,360.20"
22,BNT,"12,388.00",288.00,2.38,"12,340.00","12,389.00","12,340.00",30.00,"12,100.00"
23,BPCL,318.00,0.50,0.16,323.50,323.80,316.00,"9,308.00",317.50
24,BPW,"1,326.40",-24.60,-1.82,"1,335.00","1,360.10","1,326.40","1,565.00","1,351.00"
25,C30MF,8.85,0.00,0.00,8.68,8.85,8.68,"2,300.00",8.85
26,CBBL,858.60,-1.40,-0.16,860.00,865.00,855.00,"3,194.00",860.00
27,CBLD88,998.50,-1.50,-0.15,"1,015.00","1,018.00",998.00,200.00,"1,000.00"
